erwerben,to purchase sth [for sth]
eingreifen,to intervene
kreisen,to orbit [or revolve around] sth
gelangen,to reach one's destination
aufrappeln,to get over it
fordern,to stimulate
erhalten,to be praised/reprimanded/punished [for sth]
geraten,to get into bad company/a fight/a traffic jam
fassen,to grasp sth
gebieten,to put an end to [or stop] sth
wirken,to be effective
anstupsen,to nudge sb
einsetzen,to make an effort
drängen,to pressurize [or pressure] sb [into sth]
abarbeiten,to work off one's debts
anstupsen,to prod sb
täuschen,to swap
anstoßen,to hit sth
blasen,to blow on one's hot soup/coffee [to cool it down]
stellen,to support [or back] [or stand by] sb/sth
locken,to lure [or entice] an animal into a cage
lichten,to [grow] thin
bedenken,to warn that ...
ermitteln,to determine [or calculate] sth
vorverlegen,to move sth forward
ankündigen,to announce sb [as sb]
entstellen,to contort [or distort] sth
gelangen,to reach somewhere
ermitteln,to investigate [sb] [for sth]
eingreifen,to intervene [in sth]
drängen,to ask for a speedy decision
bearbeiten,to process an order
abkommen,to go off course
vorverlegen,to bring sth forward [to sth]
genesen,to convalesce
einbringen,to earn [or yield] interest
einreichen,to submit sth
fassen,to grasp
fordern,to support sth
darstellen,to portray [or form depict] sb/sth
locken,to have one's hair set [or curled]
hüten,to keep [or guard] a secret
blasen,to play sth
einsetzen,to start [up]
abarbeiten,to work off sth sep
einsetzen,to establish sth
hervorbringen,to produce sb/sth
treffen,to come upon sth
erhalten,to be given a new name [or renamed]
anfallen,to attack sb
gestalten,to arrange
gewähren,to catch sight of [or become aware of] sb
fassen,to scarcely be able to contain oneself
hinterlassen,to leave sb
vorkommen,to happen
gebieten,to have sth at one's disposal
ablegen,to take off sth sep
winken,to beckon sb over to one
gestalten,to dress a shop window
abkommen,to break a habit
blasen,to play
einbringen,to win sb sth
geraten,to advise [sb to do] sth
stellen,to put sb/sth somewhere [for sb]
abarbeiten,to work oneself into the ground [or to death]
schwärmen,to rhapsodize about [or over] sb/sth form
begründen,to substantiate a claim/complaint/suspicion
geraten,to fall under a lorry [or truck]
verstreichen,to elapse
erkennen,to recognize sb/sth [by sth]
aufarbeiten,to refurbish sth [or sep do up]
geraten,to have a guess
eingehen,to enter into sth [with sb]
drängen,to force [or elbow] [or Brit shoulder] one's way through the crowd
versagen,to refuse sb sth
stellen,to stick up sep its tail
erhalten,to keep [oneself] in a certain way
aufführen,to behave
lösen,to remove sth [from sth]
ergeben,to resign oneself to one's fate
drängen,to push [or shove] [or thrust] sb
fordern,to further sb's career/talent
begaben,to proceed [or make one's way] somewhere
voraussetzen,to require [or demand] sth
hechten,to do a forward dive over sth
locken,to lure sth
strampeln,to kick about
anfallen,to attack sb/an animal
erhalten,to keep [oneself] healthy
drängen,to twist sb's arm inf
fordern,to demand sth [from sb]
erkennen,to show sth
eingehen,to take a risk
ergeben,to submit to sth
vorarbeiten,to do some work in advance [for sb]
einnisten,to nest [or build a nest] [in sb's home]
erzeugen,to generate sth
ableiten,to conduct sth
entgegenkommen,to come to meet sb
vorarbeiten,to work sth in advance
einsetzen,to work hard
gestalten,to organize [or arrange] a programme [or Am -am] /an evening/a lesson [or lessons]
schaffen,to create jobs
ausarbeiten,to perfect sth
sausen,to strike out with the whip
schaffen,to create sth
einsetzen,to set sth up
ableiten,to trace sth back to sth
aufbringen,to summon [up sep ] sth
nachreichen,to hand sth [to sb] later
einsetzen,to put sth in [sth]
vorhalten,to last
beanspruchen,to require [or take up] sth
vornehmen,to get to work on sth
drängen,to force one's/it's way through sth
belegen,to substantiate a claim/an accusation
ersteigern,to buy sth [at an auction]
blasen,to blow sth
belegen,to make a sandwich with sth
entfallen,to not be applicable
treffen,to bump into sb inf
treffen,to run [or inf bump] into sb
fassen,to bite
anfallen,to be produced
gewähren,to allow a credit period
belegen,to give a reference for a quotation
begründen,to establish [or set up] a business
fordern,to insist that ...
vornehmen,to plan [or intend] to do sth
ablegen,to [set] sail
treffen,to meet sb for lunch
vorkommen,to be found [somewhere]
bedenken,to take sth into consideration
mühen,to struggle with sb/sth
vorhalten,to hold sth [in front of sb]
versagen,to fail [or to be a failure] [in sth]
erhoffen,to hope for sth [from sb/sth]
lösen,to free oneself from sth
zuführen,to lead to sth
eingehen,to pass into eternity
entfallen,to escape sb
gewähren,to afford [or offer] consolation
benachteiligen,to put sb at a disadvantage
täuschen,to feint
drängen,to force one's way somewhere
ermitteln,to decide on sb
gelangen,to achieve [or acquire] sth
gebieten,to have knowledge at one's command
lichten,to thin out sth sep
platschen,to splash somewhere
gestalten,to lay out [or plan] a garden/a garden pond/a terrace
platschen,to splash
einsetzen,towards evening he was running a very high temperature
belegen,to butter a slice of bread
aufführen,to itemize sth
erhalten,to receive sth [for sth]
sausen,to whine
fungieren,to serve [or make do] as a roof
treffen,to meet [up with] sb
geraten,to advise sb to do sth
schwanken,to sway
begründen,to justify a refusal/demand
entgegennehmen,to receive sth [from sb/for sb]
quittieren,to acknowledge [or confirm] [the] receipt of sth [for sb]
wehen,to hurt sb/an animal
drängen,to penetrate sth
wehen,to blow
begaben,to issue
geraten,to get to somewhere
ausüben,to perform a task/a function
voraussetzen,to assume sth
entfallen,to forget sth
einbringen,to contribute capital to a company
entgegenkommen,to drive towards sb
schwanken,to stagger [or reel] somewhere
anstoßen,to knock [or bang] [and injure] oneself [on sth]
bedenken,to consider sth
gelangen,to attain high standing
strömen,to pour [out of sth]
treffen,to meet sb
entsprechen,to fulfil [or Am usu -ll] [or meet] [or answer] sth
nacharbeiten,to make up for [or sep make up] sth
fordern,to make demands
gebieten,to command [or order] [sb] to do sth
schaffen,to have nothing to do with sb/sth
darstellen,to plot sth
winken,to wave sth
strampeln,to pedal like mad [or crazy] inf
lechzen,to long for sth
ausüben,to practise [or Am -ice] a profession
darstellen,to portray sth
versagen,to refuse to give oneself to sb
umhüllen,to wrap [up sep ] sb/sth [in sth]
anstoßen,to bump sth [on sth]
einbringen,to contribute
hechten,to dive full length somewhere
einsetzen,to begin
verstreichen,to apply sth to [or put sth on[to]] sth
entgegennehmen,to accept an award
geraten,to solve a riddle
trotzen,to resist sb/brave a thing
strömen,to stream [out of sth]
drängen,to pierce the clouds/fog/the night sky
einschränken,to cut down on one's activities
einschränken,to curtail spending
fällen,to reach [or come to] sth
bescheiden,to come to a decision about sth
gebieten,to demand sth
anstoßen,to drink to sb/sth [with sth]
bescheiden,to be content with sth
fällen,to drop sth
würgen,to throttle [or strangle] sb
ablegen,to file sth [away]
hüten,to look after sth carefully
darstellen,to interpret sth
einreichen,to send in sth sep [to sb]
hinziehen,to pull [or draw] sb/sth towards one
darstellen,to limn sth liter
täuschen,to deceive sb
lichten,to go down
beanspruchen,to take up time/space
wirken,to act
stellen,to go and stand somewhere
strampeln,to cycle
wirken,to do sth
täuschen,to swap [sth] with sb
voraussetzen,to presuppose sth form
bearbeiten,to edit sth
drängen,to crowd [or press]
begaben,to set off home
backen,to bake sth [in the oven]
hergeben,to hand over sth [to sb] sep
versetzen,to move [or transfer] [or post] sb [somewhere]
ergeben,to surrender [to sb]
drängen,to pile [or mount] up
kentern,to capsize sth
erwerben,to receive a title
begaben,to float
lösen,to listen to
platschen,to pour
wehen,to fly
entfallen,to slip sb's mind
geraten,to guess
darstellen,to depict sth in blue/red form
eintragen,to record in the register of companies [or commercial register]
bearbeiten,to treat sth with a chemical
zuführen,to supply a company with employees
ermahnen,to admonish sb to do sth
fordern,to require sth [of [or from] sb]
aufwerfen,to set oneself up as sth
vornehmen,to have a stab at sth inf
täuschen,to exchange [or swap] sth [for sth]
fällen,to flop onto the bed/into the armchair/down onto a chair inf
gewähren,to provide [or ensure] security
schaffen,to create sth
aufwerfen,to throw on sep soil
erteilen,to give [sb] sth
ergeben,to reveal that ...
fassen,to seize sb by sth
laben,to refresh [or revive] sb
bewältigen,to manage [to eat] sth
fordern,to help sth along
stellen,to finish [or complete] sth
aufbringen,to raise [or find] money
lähmen,to paralyze sb/sth
würgen,to force sth through sth
eindreschen,to lay into sb inf
erwerben,to acquire sth [through sth]
erklingen,to sound
versagen,to fail
beherbergen,to put up sb sep [somewhere]
drängen,to force [or elbow] [or Brit shoulder] one's way into the train
wehen,to blow sth off sth
erwerben,to acquire sth [for sth]
berücksichtigen,to take sth into consideration [or account]
anfallen,to accrue on sth
schaffen,to do
vorarbeiten,to work one's way forward [through sth]
entnehmen,to withdraw sth [from sth]
schaffen,to cause sb [a lot of] trouble
schwärmen,to go into raptures [about [or over] sth]
wirtschaften,to budget carefully
wehen,to hurt
einsetzen,to plant flowers in a flowerbed
ausarbeiten,to work out sth sep
würgen,to choke on sth
lösen,to release the brake
schaffen,to fiddle about with sth
ergeben,to amount [or come] to sth [for sb]
fassen,to pull oneself together
kreisen,to circle [over sth]
gebieten,to have dominion over sb/sth
gebieten,to have financial resources at one's disposal
vergeuden,to waste [or squander] sth
zerkleinern,to cut up sth
abkommen,to veer off the road
verlernen,to forget how to dance
eintragen,to enter [or record] sb's name [in sth]
nacharbeiten,to copy sth
bescheren,to give each other Christmas presents
bescheiden,to accept/reject a proposal
darstellen,to show oneself to be sth
ermahnen,to warn sb
einschränken,to impose a restriction on sth
geraten,to guess sth
eingehen,to go down in the annals/in history
aufwerfen,to build [up sep ] [or sep throw up] sth
beanspruchen,to claim sth [for oneself]
bedenken,to caution that ...
verirren,to get lost
gebieten,to have control over sb/sth liter
begaben,to commence work
aufwerfen,to raise [or sep bring up] sth
versagen,to fail miserably
beanspruchen,to lay claim to sth
hüten,to mind [or tend] sheep
mühen,to strive to do sth
knistern,to crackle
quittieren,to give [sb] a receipt for sth
gestalten,to formulate a text
erhalten,to remain preserved
einsetzen,to insert sth [in sth]
quittieren,to meet [or answer] sth with sth
darstellen,to portray [or play the part of] sb
fassen,to apprehend [or seize] [or catch] sb
hergeben,to give away sth sep
bescheren,to get one's Christmas presents
verstreichen,to apply a coat of paint
nacharbeiten,to touch up sth sep
lösen,to draw [or cast] lots [for sth]
einreichen,to hand in [or tender] one's resignation
gewähren,to grant [or give] [sb] sth
einschränken,to reduce one's consumption of sth form
fordern,to demand [of sb] that ...
wirken,to have an effect
einsetzen,to be active on sb's/sth's behalf
beherbergen,to accommodate [or house] sb
bearbeiten,to work on [or handle] a case
abkommen,to change one's mind
entsprechen,to correspond to [or tally with] sth
stellen,to take up position somewhere
hüten,to take care not to do sth
abkommen,to go off
verarbeiten,to use sth
erwirtschaften,to make profits
gewähren,to become aware of sth
eintragen,to enter sb [in sth]
erkennen,to realize that/how ...
begründen,to give reasons for sth
bewältigen,to cope with sth
fassen,to touch sth/to feel inside sth
einschränken,to put a check on sth
verstreichen,to apply [or sep put on] sth
geraten,to guess wrong/right
wirtschaften,to manage
entstellen,to disfigure sth
ausüben,to have an effect [on sb]
entstellen,to disfigure sb's face
ausüben,to exert pressure/an influence [on sb]
wirken,to work
lechzen,to crave sth
drängen,to insist on [or form press for] sth
wehen,to blow about
hechten,to dive off/into sth
wirtschaften,to economize
schwärmen,to go into raptures [about [or over] sth]
verarbeiten,to make sth into sth
anstoßen,to bump one's head on sth
versagen,to be unsuccessful
locken,to curl sth
belegen,to spread sth on a slice of bread
erstarren,to harden
entschlafen,to pass away [or over] [or on] euph
ermahnen,to tell sb to do sth
eingehen,to be received
erhalten,to be issued with [or receive]
backen,to bake sth
erbringen,to raise sth
vornehmen,to plan sth
gestalten,to design
lösen,to free oneself of sb/sth
schmeicheln,to flatter [or Brit inf soft-soap] sb
einschränken,to curtail one's spending
verdächtigen,to suspect sb of having done [or doing] sth
erstehen,to pick up sth sep
aufrappeln,to recover
schwärmen,to swarm somewhere
vorarbeiten,to do some work in advance
darstellen,to appear [to sb]
wehen,to hurt oneself
fordern,to promote trade
lösen,to draw [or cast] lots to see who does/must do/is sth
hinziehen,to move in with sb/to move to ...
lähmen,to be [or go] lame [in sth]
täuschen,to swap parts [or roles]
fällen,to drop
drängen,to push [or shove] [or thrust] sb aside
verstreichen,to let a deadline pass
begründen,to found [or establish] sth
schaffen,to manage [to do] sth
eingehen,to reach a settlement
backen,to deep-fry sth
versagen,to refuse sb aid [or to come to sb's aid]
täuschen,to exchange sth
einreichen,to submit [or present] sth in writing
vorhalten,to reproach sb for [or with] sth
schaffen,to worry sb [a lot]
begründen,to found [or form] a company
ableiten,to stem [or be derived] [from]
versetzen,to put oneself in sb's shoes [or place] [or position] /sth
benachteiligen,to discriminate against sb
schmeicheln,to flatter oneself [that ...]
eintragen,to put sb's name down [in sth]
eingehen,to enter into alliance [with sb]
zuführen,to supply sb/sth with sb
täuschen,to be deceptive
anstoßen,to bump sb [gently] [with sth]
berücksichtigen,to remember [or bear in mind] that ...
blasen,to blow on a burn
erschrecken,to be shocked [by sth]
erwähnen,to mention sb/sth
verharren,to pause [somewhere]
anfallen,to be due
hergeben,to have something to do with sth
wirtschaften,to keep house
bescheren,to give sb sth [for Christmas]
erstehen,to arise for sb [from sth]
verdächtigen,to suspect sb [of a thing]
umhüllen,to envelop sth
einnisten,to ensconce oneself [or to settle in] [with sb]
hinziehen,to move [or go] [to sth]
versetzen,to move up sep a pupil [to the next class]
quittieren,to obtain a receipt for sth
aufführen,to list sb/sth
einsetzen,to begin
anfallen,to arise
versagen,to be a failure [or to fail] at school
andauern,to continue
gewähren,to grant [sb] sth
erstarren,to solidify
hüten,to keep sth
abarbeiten,to work like a madman [or dog] inf
fassen,to take sb's hand
schaffen,to manage [to do sth]
lähmen,to paralyze sth
drängen,to press sb to do sth
drängen,to push [or shove] [or jostle]
einreichen,to submit [or present] sth [to sb]
bearbeiten,to work wood
sausen,to whistle
eingehen,to enter into an obligation
erschrecken,to shock sb
ableiten,to be derived [or derive] [from]
einschränken,to cut back [or down] [on sth]
fällen,to fall
erschrecken,to alarm sb
erstehen,to be rebuilt
sausen,to roar
gestalten,to turn out [or prove] to be somehow
täuschen,to sell sb a dummy Brit
lichten,to lift
lösen,to free oneself from an embrace
aufführen,to perform Wagner/a piece of music
entfallen,to be dropped
aufführen,to perform [or put on] [or stage] Shakespeare/a play
fortwirken,to continue to have an effect
berücksichtigen,to allow [or make allowances] for sth
erschrecken,to give sb a fright
ablegen,to cast off
scheppern,to clank
lösen,to loosen sth
einsetzen,to commence
verlernen,to forget sth
stellen,to stand [up sep ] sth somewhere [for sb]
treffen,to meet up [with sb]
geraten,to come to a place
winken,to wave
eingehen,to find one's way into sth
kentern,to capsize
gelangen,to fall into the wrong hands
täuschen,to be deceived by sb's behaviour [or Am -or] /assertion
bescheren,to give sb a Christmas present
